warehouse,date,orders,holiday_name,holiday,shutdown,mini_shutdown,shops_closed,winter_school_holidays,school_holidays,blackout,mov_change,frankfurt_shutdown,precipitation,snow,user_activity_1,user_activity_2,id,warehouse_to_user_activity_1,warehouse_to_user_activity_2,holiday_name_to_user_activity_1,holiday_name_to_user_activity_2,holiday_to_user_activity_1,holiday_to_user_activity_2,shops_closed_to_user_activity_1,shops_closed_to_user_activity_2,winter_school_holidays_to_user_activity_1,winter_school_holidays_to_user_activity_2,school_holidays_to_user_activity_1,school_holidays_to_user_activity_2,MACD,MACD_Signal,MACD_Histogram,Signal,BB_Middle,BB_Upper,BB_Lower,RSI,orders
Prague_1,2020-12-05,0.35189348089227046,not holiday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4196277495769882,0.699945419812608,Prague_1_2020-12-05,0.40242191123346427,0.798275062489282,0.3886446087550266,0.4913971160019039,0.39015716608132256,0.49124864536918195,0.38985997492227303,0.49199855831121186,0.3912612407079982,0.48935664945619123,0.391882165894937,0.4947835810943657,0.5058471562032392,0.6141929427291268,0.4507814361289075,0.5,0.4241072915823891,0.3272108836450505,0.578775911417164,0.5874182681961895,0.35189348089227046
Prague_1,2020-12-06,0.33396737564124734,not holiday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4081218274111675,0.6983989811698355,Prague_1_2020-12-06,0.40242191123346427,0.798275062489282,0.3886446087550266,0.4913971160019039,0.39015716608132256,0.49124864536918195,0.38985997492227303,0.49199855831121186,0.3912612407079982,0.48935664945619123,0.391882165894937,0.4947835810943657,0.5058471562032392,0.6141929427291268,0.4507814361289075,0.5,0.4241072915823891,0.3272108836450505,0.578775911417164,0.0,0.33396737564124734
Prague_1,2020-12-07,0.35967490921666956,not holiday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41082910321489,0.699422359683435,Prague_1_2020-12-07,0.40242191123346427,0.798275062489282,0.3886446087550266,0.4913971160019039,0.39015716608132256,0.49124864536918195,0.38985997492227303,0.49199855831121186,0.3912612407079982,0.48935664945619123,0.391882165894937,0.4947835810943657,0.5058471562032392,0.6141929427291268,0.4507814361289075,0.5,0.4241072915823891,0.3272108836450505,0.578775911417164,0.6890619178267792,0.35967490921666956
Prague_1,2020-12-08,0.33200760850769495,not holiday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.4057529610829103,0.6964886746111163,Prague_1_2020-12-08,0.40242191123346427,0.798275062489282,0.3886446087550266,0.4913971160019039,0.39015716608132256,0.49124864536918195,0.38985997492227303,0.49199855831121186,0.3912612407079982,0.48935664945619123,0.391882165894937,0.4947835810943657,0.5058471562032392,0.6141929427291268,0.4507814361289075,0.5,0.4241072915823891,0.3272108836450505,0.578775911417164,0.42168138382770565,0.33200760850769495
Prague_1,2020-12-09,0.35275808403942593,not holiday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.4135363790186125,0.6961930319294096,Prague_1_2020-12-09,0.40242191123346427,0.798275062489282,0.3886446087550266,0.4913971160019039,0.39015716608132256,0.49124864536918195,0.38985997492227303,0.49199855831121186,0.3912612407079982,0.48935664945619123,0.391882165894937,0.4947835810943657,0.5058471562032392,0.6141929427291268,0.4507814361289075,0.5,0.4241072915823891,0.3272108836450505,0.578775911417164,0.5902682112293883,0.35275808403942593
Prague_1,2020-12-10,0.3710876707591216,not holiday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4257191201353638,0.6966933503138362,Prague_1_2020-12-10,0.40242191123346427,0.798275062489282,0.3886446087550266,0.4913971160019039,0.39015716608132256,0.49124864536918195,0.38985997492227303,0.49199855831121186,0.3912612407079982,0.48935664945619123,0.391882165894937,0.4947835810943657,0.5058471562032392,0.6141929427291268,0.4507814361289075,0.5,0.4241072915823891,0.3272108836450505,0.578775911417164,0.6864624757314053,0.3710876707591216
Prague_1,2020-12-11,0.403481468672546,not holiday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4223350253807107,0.6975802783589558,Prague_1_2020-12-11,0.40242191123346427,0.798275062489282,0.3886446087550266,0.4913971160019039,0.39015716608132256,0.49124864536918195,0.38985997492227303,0.49199855831121186,0.3912612407079982,0.48935664945619123,0.391882165894937,0.4947835810943657,0.5058471562032392,0.6141929427291268,0.4507814361289075,0.5,0.4241072915823891,0.3272108836450505,0.578775911417164,0.7960692214527498,0.403481468672546
Prague_1,2020-12-12,0.36745633754106866,not holiday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4148900169204737,0.697693987082689,Prague_1_2020-12-12,0.40242191123346427,0.798275062489282,0.3886446087550266,0.4913971160019039,0.39015716608132256,0.49124864536918195,0.38985997492227303,0.49199855831121186,0.3912612407079982,0.48935664945619123,0.391882165894937,0.4947835810943657,0.5058471562032392,0.6141929427291268,0.4507814361289075,0.5,0.4241072915823891,0.3272108836450505,0.578775911417164,0.6356748747706195,0.36745633754106866
Prague_1,2020-12-13,0.3489538301919419,not holiday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4179357021996616,0.6972846356772491,Prague_1_2020-12-13,0.40242191123346427,0.798275062489282,0.3886446087550266,0.4913971160019039,0.39015716608132256,0.49124864536918195,0.38985997492227303,0.49199855831121186,0.3912612407079982,0.48935664945619123,0.391882165894937,0.4947835810943657,0.5058471562032392,0.6141929427291268,0.4507814361289075,0.5,0.4241072915823891,0.3272108836450505,0.578775911417164,0.5760629452347245,0.3489538301919419
Prague_1,2020-12-14,0.3585221050204623,not holiday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4199661590524534,0.698353497680342,Prague_1_2020-12-14,0.40242191123346427,0.798275062489282,0.3886446087550266,0.4913971160019039,0.39015716608132256,0.49124864536918195,0.38985997492227303,0.49199855831121186,0.3912612407079982,0.48935664945619123,0.391882165894937,0.4947835810943657,0.5058471562032392,0.6141929427291268,0.4507814361289075,0.5,0.4241072915823891,0.3272108836450505,0.578775911417164,0.6035132277400318,0.3585221050204623
